source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,2.0,50.0,0,76,False,True,2204,76,2,23,23,30,0.0001,L2,0.1,3.23,,0.77,,-1.11022302463e-16,29.0,0.77
GQ,True,2.0,20.0,100,64,False,True,1456,64,2,56,56,30,0.01,L1,0.1,2.16,,0.74,,0.0,29.0,0.74
GQ,True,1.0,20.0,1000,70,False,True,1586,70,2,17,17,30,0.01,L1,0.1,2.27,,0.76,,1.11022302463e-16,28.0,0.76
GQ,True,0.0,50.0,1000,78,False,True,2436,78,2,68,68,30,0.001,L2,0.1,3.44,,1.0,,1.11022302463e-16,28.0,1.0
GQ,True,0.0,5.0,100,73,False,True,636,73,2,19,19,30,0.01,L2,0.01,1.09,,0.76,,1.11022302463e-16,28.0,0.76
GQ,True,1.0,50.0,100,44,False,True,2334,44,2,42,42,30,0.001,L2,0.001,3.2,,0.73,,1.11022302463e-16,28.0,0.73
GQ,True,0.0,10.0,100,68,False,True,1218,68,2,16,16,30,1.0,L1,0.01,1.8,,0.76,,0.0,29.0,0.76
GQ,True,2.0,100.0,0,86,False,True,2519,86,2,65,65,30,0.0001,L1,0.01,3.6,,0.82,,-1.11022302463e-16,29.0,0.82
GQ,True,2.0,20.0,100,55,False,True,1456,55,2,42,42,30,0.01,L1,0.01,2.16,,0.72,,0.0,29.0,0.72
GQ,True,2.0,100.0,100,86,False,True,2519,86,2,63,63,30,1.0,L1,0.001,3.62,,0.74,,-1.11022302463e-16,29.0,0.74
GQ,True,0.0,100.0,100,26,False,True,2751,26,2,21,21,30,0.001,L1,0.01,4.07,,0.83,,0.0,29.0,0.83
GQ,True,0.0,5.0,100,30,False,True,636,30,2,14,14,30,0.0001,L2,0.01,1.04,,0.81,,0.0,29.0,0.81
GQ,True,1.0,100.0,0,67,False,True,2649,67,2,10,10,30,0.001,L2,0.01,3.59,,0.93,,0.0,29.0,0.93
GQ,True,0.0,50.0,100,86,False,True,2436,86,2,38,38,30,1.0,L2,0.01,3.52,,0.73,,1.11022302463e-16,28.0,0.73
GQ,True,2.0,50.0,1000,90,False,True,2204,90,2,12,12,30,0.1,L2,0.01,3.06,,0.73,,1.11022302463e-16,27.0,0.73
GQ,True,0.0,20.0,0,68,False,True,1688,68,2,15,15,30,0.01,L2,0.01,2.5,,0.83,,1.11022302463e-16,28.0,0.83
GQ,True,2.0,50.0,0,61,False,True,2204,61,2,32,32,30,0.001,L1,0.01,3.27,,0.88,,-1.11022302463e-16,29.0,0.88
GQ,True,1.0,20.0,100,33,False,True,1586,33,2,29,29,30,0.01,L1,0.001,2.33,,0.7,,0.0,29.0,0.7
GQ,True,2.0,10.0,1000,47,False,True,986,47,2,21,21,30,0.1,L1,0.001,1.49,,0.8,,0.0,29.0,0.8
GQ,True,2.0,50.0,100,81,False,True,2204,81,2,50,50,30,0.0001,L1,0.01,3.49,,0.96,,1.11022302463e-16,28.0,0.96
GQ,True,2.0,10.0,100,52,False,True,986,52,2,37,37,30,0.001,L1,0.1,1.64,,0.71,,0.0,29.0,0.71
GQ,True,2.0,100.0,0,80,False,True,2519,80,2,14,14,30,0.0001,L1,0.01,3.53,,0.77,,-1.11022302463e-16,29.0,0.77
GQ,True,0.0,5.0,1000,33,False,True,636,33,2,3,3,30,0.1,L2,0.01,1.01,,0.78,,0.0,29.0,0.78
GQ,True,1.0,20.0,1000,53,False,True,1586,53,2,3,3,30,0.001,L1,0.01,2.29,,0.7,,0.0,29.0,0.7
GQ,True,0.0,50.0,1000,21,False,True,2436,21,2,15,15,30,0.01,L1,0.0001,3.28,,0.92,,2.22044604925e-16,28.0,0.92
GQ,True,2.0,50.0,100,27,False,True,2204,27,2,26,26,30,0.001,L1,0.01,3.14,,0.75,,0.0,29.0,0.75
GQ,True,2.0,50.0,100,55,False,True,2204,55,2,51,51,30,0.01,L1,0.0001,3.43,,0.71,,-1.11022302463e-16,29.0,0.71
GQ,True,0.0,20.0,100,90,False,True,1688,90,2,15,15,30,1.0,L1,0.0001,2.65,,0.77,,-1.11022302463e-16,29.0,0.77
GQ,True,1.0,10.0,100,35,False,True,1116,35,2,15,15,30,0.1,L1,0.1,1.88,,0.79,,1.11022302463e-16,28.0,0.79
GQ,True,1.0,20.0,0,41,False,True,1586,41,2,25,25,30,0.0001,L2,0.001,2.28,,0.89,,-1.11022302463e-16,29.0,0.89
GQ,True,1.0,50.0,100,36,False,True,2334,36,2,25,25,30,0.001,L2,0.1,3.17,,0.71,,1.11022302463e-16,28.0,0.71
GQ,True,0.0,50.0,0,38,False,True,2436,38,2,23,23,30,0.1,L1,0.001,3.25,,0.72,,0.0,29.0,0.72
GQ,True,1.0,20.0,1000,48,False,True,1586,48,2,46,46,30,1.0,L1,0.01,2.24,,0.7,,-1.11022302463e-16,29.0,0.7
GQ,True,2.0,5.0,100,2,False,True,403,2,2,1,1,30,0.01,L2,0.001,0.78,,0.69,,1.11022302463e-16,28.0,0.69
GQ,True,1.0,20.0,1000,94,False,True,1586,94,2,28,28,30,0.001,L1,0.001,2.22,,0.87,,1.11022302463e-16,28.0,0.87
GQ,True,1.0,10.0,1000,22,False,True,1116,22,2,13,13,30,1.0,L2,0.0001,1.61,,0.78,,0.0,29.0,0.78
GQ,True,0.0,20.0,100,9,False,True,1688,9,2,3,3,30,0.1,L1,0.1,2.44,,0.76,,0.0,29.0,0.76
GQ,True,1.0,5.0,0,81,False,True,534,81,2,72,72,30,0.0001,L1,0.001,1.0,,0.77,,0.0,29.0,0.77
GQ,True,0.0,50.0,1000,72,False,True,2436,72,2,45,45,30,0.001,L2,0.0001,3.47,,0.72,,0.0,29.0,0.72
GQ,True,0.0,50.0,100,13,False,True,2436,13,2,11,11,30,0.001,L1,0.0001,3.26,,0.73,,1.11022302463e-16,28.0,0.73
GQ,True,1.0,100.0,0,82,False,True,2649,82,2,49,49,30,0.1,L1,0.001,3.59,,0.82,,0.0,29.0,0.82
GQ,True,1.0,20.0,100,62,False,True,1586,62,2,56,56,30,0.01,L1,0.1,2.38,,0.79,,0.0,29.0,0.79
GQ,True,2.0,10.0,100,23,False,True,986,23,2,22,22,30,0.1,L2,0.1,1.61,,0.73,,1.11022302463e-16,28.0,0.73
