source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_derivative,last_mean_validation_loss_derivative,best_last_epoch,best_last_mean_validation_loss
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L2,0.001,0.68,0.7,0.68,-0.000636133603239,0.0006191950464400001,4.0,0.66
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L2,0.01,0.63,0.69,0.68,-0.000870107962213,-0.000899380804954,19.0,0.68
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L2,0.1,0.63,0.62,0.64,-0.00444922402159,0.004384674922600001,14.0,0.62
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L1,0.0001,0.61,0.74,0.66,-0.000905533063428,-6.57894736842e-05,19.0,0.66
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L1,0.001,0.68,0.71,0.72,-0.000411437246964,-0.00121207430341,19.0,0.72
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L1,0.01,0.69,0.69,0.69,-0.000806342780027,-0.0005673374612999999,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,0.001,L1,0.1,0.64,0.64,0.64,-0.004081477732790001,0.0029791021671800003,17.0,0.63
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L2,0.0001,0.65,0.72,0.77,-0.000356950067476,-0.000733746130031,19.0,0.77
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L2,0.001,0.67,0.7,0.71,-0.00017796896086400005,-0.00071439628483,19.0,0.71
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L2,0.01,0.65,0.69,0.69,-0.00017004048583,-1.62538699691e-05,0.0,0.68
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L2,0.1,0.68,0.73,0.67,-0.000222503373819,0.000259287925697,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L1,0.0001,0.68,0.85,0.72,-0.00233147773279,-0.0011687306501500002,19.0,0.72
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L1,0.001,0.64,0.71,0.68,-0.00122587719298,0.0005642414860680001,15.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L1,0.01,0.63,0.7,0.69,9.9527665316e-06,-0.000173374613003,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,0.01,L1,0.1,0.65,0.73,0.67,-0.000272267206478,0.000195820433437,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L2,0.0001,0.69,0.72,0.67,-0.000526990553307,4.02476780186e-05,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L2,0.001,0.7,0.74,0.69,-0.00233451417004,0.000445820433437,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L2,0.01,0.73,0.7,0.69,-3.35695006749e-05,8.97832817338e-05,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L2,0.1,0.65,0.73,0.67,-0.000255398110661,0.00021826625387,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L1,0.0001,0.64,0.75,0.83,-0.0011560391363,-0.00199767801858,19.0,0.83
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L1,0.001,0.66,0.7,0.69,-0.000238529014845,0.0008328173374610001,5.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L1,0.01,0.69,0.7,0.69,-1.72064777327e-05,-5.41795665635e-05,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,0.1,L1,0.1,0.68,0.72,0.67,-0.000117746288799,-4.95356037151e-05,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L2,0.0001,0.64,0.73,0.67,-0.0012425775978399999,0.000119969040248,18.0,0.66
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L2,0.001,0.74,0.69,0.69,3.94736842105e-05,0.00014164086687299998,2.0,0.68
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L2,0.01,0.72,0.7,0.69,-7.59109311743e-06,0.0,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L2,0.1,0.7,0.72,0.67,-0.000115215924427,4.10216718265e-05,19.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L1,0.0001,0.68,0.7,0.68,-0.000187753036437,0.000238390092879,6.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L1,0.001,0.63,0.7,0.7,-0.000377361673414,0.00012693498452,1.0,0.67
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L1,0.01,0.62,0.7,0.69,-2.69905533068e-06,-3.25077399381e-05,19.0,0.69
G,True,0,50.0,0,85,2,5,5.0,20.0,1.0,L1,0.1,0.62,0.71,0.68,1.29892037787e-05,-0.000382352941177,5.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L2,0.0001,0.66,0.86,0.72,-0.0038564439945999998,-0.00205185758514,19.0,0.72
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L2,0.001,0.66,0.69,0.68,-0.00032979082321200003,0.000280959752322,2.0,0.66
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L2,0.01,0.65,0.69,0.68,-0.00115367746289,-0.000791795665635,19.0,0.68
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L2,0.1,0.65,0.6,0.7,-0.00618033063428,0.00819659442724,7.0,0.63
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L1,0.0001,0.63,0.92,1.07,-0.00516751012146,-0.00713390092879,19.0,1.07
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L1,0.001,0.64,0.7,0.69,-6.02226720647e-05,0.000174148606811,1.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L1,0.01,0.64,0.7,0.69,-0.000577260458839,-0.00032275541795700005,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.0001,L1,0.1,0.64,0.61,0.66,-0.006068825910930001,0.0066060371517,12.0,0.62
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L2,0.0001,0.66,0.74,0.67,-0.0009644062078270001,-0.000168730650155,19.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L2,0.001,0.66,0.69,0.7,-0.000230937921727,-0.000624613003096,19.0,0.7
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L2,0.01,0.65,0.69,0.68,-0.00088141025641,-0.000657894736842,19.0,0.68
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L2,0.1,0.65,0.65,0.64,-0.00489018218623,0.00241253869969,17.0,0.63
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L1,0.0001,0.64,0.79,0.69,-0.0024536099865,-0.00108359133127,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L1,0.001,0.64,0.69,0.69,-7.72604588395e-05,-0.00015015479876199998,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L1,0.01,0.63,0.68,0.67,-0.0013485155195699999,-0.0006973684210529999,19.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.001,L1,0.1,0.64,0.64,0.62,-0.0038802294197,0.0020092879257,13.0,0.61
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L2,0.0001,0.66,0.79,0.69,-0.0024225708501999996,-0.000923374613003,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L2,0.001,0.65,0.69,0.68,-0.000145074224022,8.51393188855e-05,4.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L2,0.01,0.65,0.7,0.69,-0.000200742240216,-0.000208204334365,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L2,0.1,0.65,0.73,0.66,-0.00013967611336000005,0.000532507739938,9.0,0.65
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L1,0.0001,0.64,0.69,0.71,-5.16194331984e-05,-0.000256191950465,19.0,0.71
